produit,ic_largeur_brut,ic_largeur_reduit,reduction_pct
Call européen,0.24314441816613908,0.14434443861115298,40.63427830264921
Put européen,0.17029216730171903,0.14434443861115298,15.237182720560815
Call asiatique,0.1426072613134668,0.06833734426078664,52.08003882034207
Down-and-out call,0.24360222978622303,0.01784977156903267,92.67257463747478
